ticket_code,employee_id,technician_id,date_created,date_resolved,issue_category,issue_subcategory,priority,status,channel,resolution_time_hours,sla_target_hours,sla_met,satisfaction_score
TKT-00001,272,12,2025-02-13 09:47:00,2025-02-14 14:33:12,Software,Browser Issue,Low,Resolved,Portal,28.77,48,1,3
TKT-00002,405,1,2025-11-24 09:47:00,2025-11-24 16:44:36,Hardware,Battery/Power,Medium,Resolved,Email,6.96,24,1,4
TKT-00003,392,2,2025-08-05 09:24:00,2025-08-05 15:06:36,Account Access,Locked Account,Medium,Resolved,Email,5.71,24,1,5
TKT-00004,134,10,2025-08-12 12:53:00,2025-08-13 01:39:12,Hardware,Monitor Issue,Medium,Resolved,Phone,12.77,24,1,5
TKT-00005,129,7,2025-07-02 09:20:00,2025-07-02 22:32:36,Network,No Internet Access,Medium,Resolved,Portal,13.21,24,1,3
TKT-00006,269,6,2025-11-17 11:23:00,2025-11-17 13:29:36,Account Access,Password Reset,Medium,Resolved,Phone,2.11,24,1,5
TKT-00007,207,7,2026-06-10 11:30:00,2026-06-12 11:00:00,Software,Browser Issue,Medium,Closed,Email,47.50,24,0,2
TKT-00008,365,4,2025-09-18 14:07:00,2025-09-20 09:48:24,Network,Wi-Fi Connectivity,Medium,Resolved,Phone,43.69,24,0,2
TKT-00009,185,7,2025-10-14 07:45:00,2025-10-15 15:11:24,Software,Software Installation,Medium,Resolved,Portal,31.44,24,0,2
TKT-00010,389,10,2026-01-15 13:00:00,2026-01-16 09:00:36,Hardware,Laptop Won't Start,Medium,Resolved,Email,20.01,24,1,5
TKT-00011,58,10,2025-06-16 15:40:00,2025-06-17 04:09:24,Security,Phishing Report,High,Resolved,Email,12.49,8,0,4
TKT-00012,153,1,2026-08-27 10:25:00,2026-08-27 11:40:36,Account Access,Password Reset,Medium,Resolved,Phone,1.26,24,1,4
TKT-00013,366,5,2026-03-27 13:56:00,2026-03-27 14:34:24,Security,Unauthorized Access Concern,Critical,Resolved,Portal,0.64,4,1,4
TKT-00014,264,1,2025-12-12 16:56:00,2025-12-13 10:23:00,Network,No Internet Access,Medium,Resolved,Portal,17.45,24,1,4
TKT-00015,36,9,2025-09-23 13:40:00,2025-09-24 07:57:24,Security,Suspicious Email,High,Resolved,Phone,18.29,8,0,2
TKT-00016,61,9,2025-08-13 11:06:00,2025-08-13 20:15:00,Software,Application Access,Low,Closed,Portal,9.15,48,1,5
TKT-00017,412,1,2026-02-06 19:43:00,2026-02-07 01:04:00,Software,Microsoft 365 Issue,Medium,Resolved,Portal,5.35,24,1,4
TKT-00018,238,7,2025-07-25 13:25:00,2025-07-25 21:02:12,Hardware,Docking Station,High,Resolved,Walk-up,7.62,8,1,4
TKT-00019,286,9,2025-03-04 08:15:00,2025-03-04 10:55:48,Printing,Printer Offline,Medium,Closed,Phone,2.68,24,1,5
TKT-00020,241,3,2025-03-03 08:11:00,2025-03-03 10:56:36,Software,Microsoft 365 Issue,High,Resolved,Email,2.76,8,1,4
TKT-00021,35,10,2025-06-13 10:01:00,2025-06-15 16:23:48,Software,Microsoft 365 Issue,Medium,Closed,Email,54.38,24,0,1
TKT-00022,367,5,2025-06-23 17:46:00,2025-06-23 23:25:36,Security,Suspicious Email,High,Resolved,Portal,5.66,8,1,4
TKT-00023,190,4,2025-08-22 11:15:00,2025-08-24 18:47:24,Software,Microsoft 365 Issue,Medium,Closed,Email,55.54,24,0,3
TKT-00024,209,4,2025-08-14 10:54:00,2025-08-15 15:13:12,Account Access,Permissions Request,Medium,Resolved,Portal,28.32,24,0,4
TKT-00025,222,1,2026-05-13 10:10:00,2026-05-13 15:27:24,Software,Application Access,Medium,Resolved,Email,5.29,24,1,4
TKT-00026,161,11,2025-12-10 09:47:00,2025-12-10 12:21:12,Software,Application Crash,High,Resolved,Portal,2.57,8,1,5
TKT-00027,25,11,2026-07-31 16:36:00,2026-08-01 11:11:24,Hardware,Monitor Issue,Medium,Resolved,Email,18.59,24,1,5
TKT-00028,190,8,2025-11-24 17:16:00,2025-11-26 19:47:48,Network,VPN Connection,Medium,Resolved,Email,50.53,24,0,1
TKT-00029,256,12,2025-04-01 12:10:00,2025-04-03 14:07:00,Software,Microsoft 365 Issue,Medium,Resolved,Portal,49.95,24,0,3
TKT-00030,402,4,2025-09-08 08:46:00,2025-09-09 17:15:24,Account Access,Password Reset,Medium,Resolved,Email,32.49,24,0,2
TKT-00031,354,12,2025-05-01 08:04:00,2025-05-01 12:43:00,Security,Suspicious Email,High,Closed,Portal,4.65,8,1,4
